lev,milliseconds,samples,productions,rank
3, 5208, 2111, 311, 10999
2, 1647, 499, 1868, 50
2, 707, 275, 1358, 461
1, 400, 54, 242, 50
3, 30014, 1999, 3625, 0
3, 200, 432, 742, 1107
1, 1, 7, 80, 6
1, 1, 12, 35, 2
1, 209, 20, 148, 1
2, 1778, 967, 2319, 2486
3, 12237, 6054, 4105, 810
1, 1, 1, 74, 0
2, 1783, 548, 1173, 710
3, 30053, 4704, 12287, 28035
3, 30017, 4303, 6557, 150
2, 1694, 947, 1355, 0
2, 1092, 447, 801, 0
3, 19334, 11063, 5347, 0
2, 321, 270, 173, 0
1, 2, 7, 54, 0
2, 525, 367, 219, 0
1, 6, 21, 107, 15
2, 725, 682, 1037, 976
2, 7191, 965, 1818, 3821
3, 19272, 2071, 3935, 6619
1, 0, 3, 26, 1
1, 0, 5, 39, 0
