holes, d1, d1err, d2, d2err, d3, d3err, d4, d4err
6, 1321.5714285714287, 140.95949145514294, 1733.142857142857, 462.5720315299461, 1506.7619047619048, 222.12821367547525, 1566.2857142857142, 631.0912803086671
8, 1452.3809523809523, 151.97477114889708, 1891.952380952381, 200.1350677704283, 1628.904761904762, 385.2410383076703, 1650.3809523809523, 425.3402532864244
10, 1577.7619047619048, 194.65278116538562, 2017.0, 169.73340440652385, 1617.1904761904761, 219.0954606140392, 1453.6666666666667, 441.71724777749733
12, 1488.2380952380952, 202.72287083177528, 1905.8095238095239, 159.97458698407576, 1687.095238095238, 200.179658536051, 1657.857142857143, 552.7971543681742
14, 1495.095238095238, 177.53923905969546, 1969.6666666666667, 157.4866081482224, 1543.5238095238096, 334.17341079254885, 1571.5714285714287, 431.47339722977915
16, 1555.7142857142858, 146.83490659893636, 1870.6190476190477, 147.51996674880715, 1444.4285714285713, 356.3077283457539, 1789.6666666666667, 425.3042981580906

