holes, d1, d1err, d2, d2err, d3, d3err, d4, d4err
8, 125.0909090909091, 63.6545428578847, 134.72727272727272, 18.849118180921547, 448.72727272727275, 65.51625878581024, 504.27272727272725, 67.17966536100437
10, 138.45454545454547, 16.171600451316646, 326.54545454545456, 37.5023966176312, 229.8181818181818, 52.83734592091982, 348.09090909090907, 24.392452429741255
12, 149.36363636363637, 48.424773388070186, 190.63636363636363, 42.46126090551187, 253.27272727272728, 89.2026201297727, 351.45454545454544, 69.28119728700321
14, 121.0, 30.635689229156483, 262.90909090909093, 44.78931395576515, 469.54545454545456, 48.3366295066807, 284.54545454545456, 40.98860958488931
16, 150.54545454545453, 27.509878015537474, 641.7272727272727, 69.18366978766923, 629.5454545454545, 101.54028635012861, 530.0, 56.57979080265963
