length, lev_dist, lev_margin, lang_size, time
98, 1, 0, 49, 6.025879416s
89, 3, 2, 64028789, 3m 19.336716875s
27, 1, 0, 3, 88.720292ms
4, 1, 0, 46, 3.161708ms
32, 1, 0, 11, 340.728959ms
31, 3, 1, 178497, 7.851942208s
18, 1, 0, 31, 105.508292ms
33, 2, 1, 20442, 964.875375ms
10, 1, 0, 58, 68.063667ms
29, 1, 0, 15, 158.270292ms
35, 1, 0, 4, 291.515875ms
13, 2, 1, 6609, 426.991375ms
35, 2, 1, 36728, 1.515065041s
33, 2, 0, 222, 926.569666ms
17, 1, 0, 58, 192.288708ms
83, 2, 1, 46073, 12.838802s
88, 2, 1, 5772, 12.368564042s
11, 1, 0, 32, 18.321167ms
26, 2, 1, 47726, 2.156142958s
24, 1, 0, 30, 321.149541ms
87, 3, 2, 70370367, 1m 36.503530375s
44, 2, 0, 628, 1.999927250s
77, 2, 1, 66291, 6.123038916s
22, 1, 0, 19, 56.243250ms
57, 1, 0, 8, 1.614646708s
67, 2, 1, 71018, 7.176777042s
34, 2, 1, 22259, 1.216804083s
30, 1, 0, 102, 294.179041ms
69, 2, 0, 32, 8.884916042s
9, 2, 1, 1362, 455.778459ms
63, 1, 0, 7, 2.624780417s
26, 1, 0, 47, 160.987458ms
24, 1, 0, 12, 137.828375ms
92, 2, 1, 1819, 13.558533208s
77, 2, 0, 1630, 12.074040542s
40, 1, 0, 4, 886.994291ms
44, 2, 1, 7314, 2.424799125s
26, 1, 0, 46, 237.925167ms
25, 1, 0, 58, 156.586583ms
59, 2, 1, 2051, 4.503563208s
31, 1, 0, 5, 360.787667ms
27, 2, 1, 26257, 1.358161125s
43, 2, 0, 397, 2.166067916s
17, 3, 2, 524593, 4.385395791s
21, 1, 0, 99, 293.409208ms
26, 1, 0, 4, 95.143542ms
15, 1, 0, 2, 35.964042ms
53, 1, 0, 28, 1.406700500s
37, 2, 1, 36644, 1.645432541s
88, 1, 0, 19, 5.096677s
50, 2, 1, 6160, 2.489209250s
72, 1, 0, 21, 2.822089792s
41, 2, 1, 22695, 2.524653458s
22, 2, 1, 884, 185.904958ms
31, 3, 2, 7766430, 3m 9.031830s
15, 1, 0, 89, 44.496166ms
70, 3, 2, 314048, 42.874525584s
89, 2, 1, 4407, 8.691315541s
5, 1, 0, 41, 4.277ms
26, 3, 1, 18958, 575.016917ms
69, 2, 0, 28, 5.779272542s
71, 1, 0, 3, 1.702676417s
51, 2, 0, 1156, 2.025552041s
38, 3, 2, 1567762, 5.019092750s
66, 1, 0, 69, 1.348331416s
57, 1, 0, 35, 853.085208ms
33, 1, 0, 38, 322.622042ms
48, 2, 0, 555, 1.780638s
33, 2, 1, 15173, 750.131958ms
12, 1, 0, 61, 17.005375ms
40, 1, 0, 82, 272.449667ms
86, 2, 1, 4522, 5.836551542s
31, 1, 0, 9, 126.419542ms
93, 3, 0, 65926, 36.741972625s
64, 2, 1, 33980, 2.862720542s
53, 2, 1, 24449, 2.672892708s
17, 1, 0, 7, 31.348334ms
42, 1, 0, 7, 545.001583ms
94, 2, 1, 4845, 8.616826250s
72, 1, 0, 8, 2.087554458s
20, 3, 2, 3909452, 15.893380292s
37, 3, 1, 180646, 5.400839625s
76, 2, 0, 6395, 8.233961708s
43, 1, 0, 38, 607.307334ms
25, 1, 0, 58, 373.176250ms
34, 1, 0, 9, 362.794500ms
30, 2, 1, 28123, 945.196375ms
28, 3, 2, 2062680, 11.011971125s
54, 1, 0, 52, 1.300222292s
45, 1, 0, 7, 852.129916ms
48, 3, 1, 1730888, 1m 23.456347917s
49, 2, 1, 38387, 1.909712167s
62, 2, 1, 55628, 4.079435709s
82, 2, 1, 123529, 7.901097334s
19, 1, 0, 86, 116.948125ms
35, 1, 0, 3, 364.590792ms
39, 2, 1, 15518, 2.338122042s
28, 3, 2, 91010, 10.677934833s
30, 1, 0, 19, 165.550459ms
70, 3, 2, 6947754, 1m 23.000490500s
48, 1, 0, 36, 545.476125ms
25, 2, 1, 2986, 440.887584ms
11, 3, 1, 28715, 547.818834ms
68, 2, 0, 49, 6.864275750s
15, 3, 0, 262015, 427.067500ms
31, 3, 0, 11547, 2.780514459s
16, 2, 1, 439, 169.019750ms
82, 1, 0, 9, 4.189365958s
28, 1, 0, 101, 419.359625ms
37, 1, 0, 15, 336.789458ms
40, 2, 1, 29746, 1.764283916s
34, 1, 0, 18, 396.169250ms
32, 1, 0, 35, 154.997417ms
39, 1, 0, 8, 598.660791ms
36, 1, 0, 35, 284.324167ms
33, 2, 0, 5310, 1.378305750s
28, 2, 1, 10537, 875.423708ms
16, 1, 0, 63, 51.483709ms
28, 2, 1, 13457, 647.383875ms
18, 1, 0, 46, 90.321833ms
42, 1, 0, 6, 454.598542ms
97, 3, 1, 26397, 28.749089042s
31, 2, 1, 33002, 1.225750834s
85, 1, 0, 59, 3.663250750s
32, 1, 0, 55, 181.022417ms
7, 2, 1, 6750, 258.485917ms
22, 1, 0, 19, 110.504750ms
15, 1, 0, 2, 42.527667ms
76, 1, 0, 26, 2.714475584s
39, 2, 1, 41304, 3.595554917s
29, 2, 1, 27044, 796.401125ms
30, 2, 1, 18263, 2.015404667s
23, 1, 0, 16, 140.218375ms
33, 1, 0, 12, 387.541833ms
10, 2, 1, 1829, 61.226542ms
14, 1, 0, 11, 52.924083ms
17, 1, 0, 7, 41.473583ms
10, 2, 1, 5881, 179.355917ms
21, 1, 0, 23, 82.995417ms
19, 1, 0, 14, 109.183292ms
47, 1, 0, 34, 615.604ms
13, 1, 0, 48, 23.712084ms
24, 1, 0, 7, 360.247416ms
28, 1, 0, 122, 157.315125ms
23, 2, 1, 14586, 347.747541ms
52, 1, 0, 2, 983.898083ms
81, 1, 0, 35, 3.383238083s
81, 2, 1, 89843, 7.132185292s
67, 1, 0, 7, 2.485264333s
38, 1, 0, 2, 1.884997833s
33, 1, 0, 28, 627.059625ms
64, 1, 0, 58, 3.514330416s
31, 1, 0, 102, 313.627792ms
36, 1, 0, 33, 537.802417ms
24, 2, 0, 397, 536.939584ms
88, 1, 0, 4, 5.695875083s
41, 1, 0, 4, 821.795458ms
73, 3, 2, 7661113, 35.787414666s
45, 1, 0, 15, 1.076194375s
25, 3, 2, 4855540, 28.420093292s
26, 3, 2, 552551, 10.327657792s
50, 3, 1, 182108, 12.172417167s
26, 2, 1, 22749, 1.119767583s
88, 2, 1, 47697, 17.184109208s
83, 2, 1, 74637, 10.088055250s
11, 2, 1, 8319, 548.513292ms
24, 2, 1, 6398, 515.305417ms
61, 1, 0, 4, 2.031481417s
13, 1, 0, 46, 88.583583ms
19, 1, 0, 16, 82.658417ms
20, 1, 0, 20, 127.603ms
62, 2, 0, 473, 6.646073541s
17, 2, 1, 7346, 322.709167ms
71, 1, 0, 8, 3.088480416s
71, 2, 1, 30657, 6.725346417s
32, 2, 1, 2037, 836.903292ms
23, 1, 0, 115, 179.417083ms
78, 1, 0, 102, 3.857460750s
41, 2, 0, 18, 2.084345s
20, 2, 1, 31128, 3.798703166s
25, 2, 0, 52, 364.559ms
26, 2, 1, 54, 301.470708ms
23, 1, 0, 11, 117.901916ms
29, 2, 1, 17651, 506.685250ms
44, 1, 0, 9, 810.680083ms
4, 1, 0, 8, 2.706291ms
25, 1, 0, 3, 362.457625ms
52, 2, 1, 10489, 2.350488500s
54, 1, 0, 34, 1.240405167s
25, 1, 0, 2, 108.819041ms
28, 1, 0, 8, 149.288667ms
35, 1, 0, 70, 620.928292ms
38, 1, 0, 14, 614.902625ms
56, 1, 0, 26, 1.622600292s
17, 2, 1, 11000, 221.900625ms
53, 1, 0, 79, 1.059003167s
49, 1, 0, 2, 884.991917ms
74, 1, 0, 7, 2.396653334s
99, 3, 2, 31844218, 2m 17.716623125s
28, 1, 0, 17, 375.600208ms
53, 1, 0, 40, 977.740500ms
54, 1, 0, 102, 1.087859208s
20, 1, 0, 40, 62.553666ms
12, 1, 0, 37, 234.872375ms
28, 3, 0, 6648, 1.470591s
8, 2, 1, 5195, 112.288709ms
28, 1, 0, 64, 221.888416ms
88, 1, 0, 7, 4.539519750s
40, 2, 1, 24180, 2.176704708s
27, 1, 0, 27, 233.648958ms
95, 1, 0, 50, 5.719382875s
33, 1, 0, 81, 471.111250ms
40, 3, 2, 1895407, 10.008245083s
19, 3, 1, 24475, 1.374490041s
30, 1, 0, 4, 258.625041ms
27, 1, 0, 41, 174.140209ms
45, 1, 0, 2, 774.861958ms
41, 2, 1, 21634, 1.374635334s
55, 2, 1, 42852, 2.907329500s
46, 1, 0, 34, 699.928250ms
80, 2, 1, 14924, 6.848995791s
50, 1, 0, 35, 1.235803416s
10, 2, 1, 6271, 489.276500ms
60, 2, 1, 56666, 5.516723584s
82, 1, 0, 35, 5.345648917s
52, 1, 0, 289, 1.652049834s
48, 1, 0, 8, 1.030151583s
37, 3, 2, 13333940, 48.190196417s
25, 1, 0, 113, 207.384250ms
79, 1, 0, 47, 3.254873208s
19, 1, 0, 66, 83.123417ms
89, 1, 0, 5, 5.041053166s
45, 1, 0, 37, 716.882708ms
78, 3, 2, 277626, 33.814855875s
40, 1, 0, 3, 500.645541ms
16, 1, 0, 28, 35.220834ms
24, 1, 0, 43, 183.704ms
49, 2, 1, 37249, 5.636295s
29, 3, 2, 1168007, 1m 38.514210208s
64, 1, 0, 78, 1.177223541s
27, 1, 0, 35, 106.579833ms
26, 2, 1, 31592, 447.331375ms
17, 1, 0, 88, 67.074042ms
15, 1, 0, 79, 49.109417ms
34, 2, 1, 35360, 1.233827292s
12, 2, 1, 2861, 95.921666ms
32, 3, 2, 7162021, 5m 27.678910750s
24, 1, 0, 27, 120.114042ms
32, 1, 0, 80, 286.385792ms
16, 1, 0, 37, 51.070083ms
10, 1, 0, 41, 32.107791ms
39, 1, 0, 63, 419.561750ms
17, 1, 0, 72, 52.917208ms
21, 3, 2, 825779, 20.120976167s
55, 1, 0, 102, 1.620019208s
26, 1, 0, 102, 335.418167ms
35, 1, 0, 86, 239.976334ms
9, 2, 1, 159, 49.701667ms
96, 1, 0, 43, 4.711352250s
40, 1, 0, 8, 619.767167ms
30, 1, 0, 33, 195.055500ms
63, 2, 1, 10695, 2.665977500s
34, 3, 2, 10010353, 39.025058875s
25, 1, 0, 11, 138.215708ms
26, 1, 0, 102, 96.309292ms
34, 2, 1, 14302, 2.482117958s
21, 1, 0, 91, 79.263500ms
26, 1, 0, 7, 289.592042ms
23, 3, 2, 1583408, 41.772569375s
14, 1, 0, 48, 23.140292ms
26, 2, 1, 3696, 544.816417ms
47, 1, 0, 58, 621.111834ms
68, 2, 1, 85236, 3.954719750s
14, 1, 0, 58, 24.289292ms
34, 3, 0, 165, 1.512103209s
14, 1, 0, 23, 22.862958ms
15, 2, 1, 18468, 156.460500ms
52, 2, 1, 44712, 2.197974917s
23, 1, 0, 10, 73.440875ms
24, 1, 0, 47, 228.501750ms
15, 1, 0, 19, 46.825750ms
65, 2, 1, 88978, 3.456114916s
96, 1, 0, 8, 3.325789167s
16, 2, 1, 1704, 92.604625ms
8, 2, 1, 12442, 117.120500ms
43, 1, 0, 65, 345.912625ms
41, 3, 2, 1036751, 47.190011417s
39, 2, 1, 32449, 1.227547209s
29, 1, 0, 29, 148.626583ms
20, 2, 1, 24317, 1.054313625s
49, 2, 1, 40860, 2.758815792s
38, 2, 0, 68, 982.135042ms
37, 2, 1, 35876, 964.016333ms
77, 2, 1, 6441, 4.030100500s
55, 3, 2, 11137630, 5m 28.834719041s
20, 1, 0, 13, 183.278458ms
18, 1, 0, 10, 42.384458ms
59, 2, 1, 2192, 1.910517750s
34, 1, 0, 3, 164.872666ms
48, 1, 0, 96, 438.097667ms
86, 2, 1, 4109, 5.703802708s
84, 1, 0, 4, 2.421848916s
28, 1, 0, 139, 119.617166ms
43, 1, 0, 38, 471.228709ms
18, 2, 1, 17031, 227.343625ms
15, 1, 0, 5, 45.011292ms
45, 2, 1, 2880, 1.286870667s
13, 3, 2, 3663628, 27.893198875s
60, 1, 0, 46, 1.203946333s
19, 1, 0, 62, 69.019125ms
11, 1, 0, 14, 136.889833ms
52, 2, 1, 2012, 1.738082375s
36, 2, 1, 21298, 780.741959ms
26, 2, 1, 10492, 1.054161958s
66, 1, 0, 58, 1.422870875s
28, 2, 1, 16348, 2.230266625s
22, 1, 0, 19, 112.171084ms
18, 1, 0, 37, 151.479750ms
16, 3, 2, 363587, 6.036094375s
74, 1, 0, 5, 1.998792292s
61, 1, 0, 41, 1.255309209s
24, 2, 1, 9035, 207.045416ms
32, 3, 2, 2753832, 8.512925208s
50, 1, 0, 11, 737.210459ms
44, 3, 2, 9426605, 24.496202041s
76, 1, 0, 7, 2.289146209s
16, 2, 0, 6, 117.628333ms
39, 3, 0, 1681, 2.488863375s
30, 2, 0, 14, 634.839542ms
21, 2, 1, 13143, 428.835125ms
42, 2, 1, 42868, 1.073475125s
15, 1, 0, 29, 28.635ms
26, 2, 1, 11273, 933.299541ms
77, 2, 1, 68403, 4.599655084s
22, 1, 0, 80, 99.704834ms
82, 2, 1, 79680, 5.206539042s
13, 1, 0, 27, 32.202042ms
20, 1, 0, 13, 75.081625ms
18, 3, 2, 473850, 4.888473041s
61, 1, 0, 4, 1.497586500s
67, 2, 1, 87097, 3.863804209s
57, 1, 0, 35, 1.459616958s
19, 1, 0, 15, 78.470459ms
55, 2, 1, 49331, 2.441803541s
25, 2, 1, 19289, 607.980667ms
65, 1, 0, 2, 1.965099416s
55, 1, 0, 13, 1.195266s
20, 1, 0, 2, 75.725750ms
20, 1, 0, 68, 97.702209ms
37, 1, 0, 18, 393.185125ms
16, 2, 1, 2056, 102.145458ms
11, 2, 1, 1460, 118.962125ms
11, 1, 0, 39, 30.927459ms
10, 2, 1, 1277, 235.316333ms
16, 2, 1, 11308, 884.004791ms
21, 2, 0, 16, 270.058334ms
16, 2, 1, 16821, 982.561792ms
44, 1, 0, 109, 709.613042ms
67, 2, 1, 55129, 7.585836375s
53, 2, 0, 38, 2.563284s
25, 2, 1, 2250, 245.819625ms
23, 2, 1, 23640, 1.113777708s
32, 1, 0, 64, 172.298583ms
29, 2, 1, 3131, 668.931416ms
30, 1, 0, 37, 154.955084ms
97, 3, 1, 24091, 20.838710875s
70, 1, 0, 35, 1.748127708s
48, 1, 0, 106, 724.093583ms
20, 1, 0, 88, 67.078917ms
41, 2, 1, 50199, 1.673413s
40, 2, 0, 288, 1.185847166s
45, 1, 0, 102, 599.013875ms
73, 3, 2, 32731442, 1m 0.328734459s
31, 2, 1, 57199, 788.017625ms
36, 1, 0, 55, 377.454667ms
22, 1, 0, 2, 56.020250ms
29, 1, 0, 88, 133.506209ms
4, 2, 1, 525, 10.842375ms
78, 1, 0, 35, 2.337161750s
28, 2, 1, 13610, 429.803416ms
51, 2, 0, 3069, 2.295543s
40, 3, 1, 22984, 2.967303625s
29, 2, 1, 4045, 326.708ms
38, 3, 2, 3692891, 16.006773708s
63, 2, 1, 56345, 2.870315500s
69, 1, 0, 6, 1.677988583s
34, 2, 1, 53381, 4.599661667s
33, 1, 0, 4, 210.327375ms
52, 1, 0, 4, 855.017583ms
18, 3, 2, 1147019, 11.856875958s
71, 2, 0, 3, 5.162577375s
26, 3, 1, 46098, 1.361051250s
37, 3, 2, 3735747, 3m 43.708192s
35, 3, 2, 8479370, 51.130568958s
27, 2, 1, 10938, 582.890708ms
52, 1, 0, 40, 1.056043709s
27, 1, 0, 2, 287.692959ms
53, 1, 0, 11, 797.940917ms
53, 2, 1, 48066, 2.584766417s
43, 3, 1, 116944, 4.533673709s
58, 1, 0, 38, 1.289412917s
10, 3, 2, 905170, 17.115705833s
11, 1, 0, 13, 20.136583ms
29, 3, 1, 72055, 2.121274166s
11, 1, 0, 7, 18.107541ms
28, 1, 0, 2, 214.888917ms
35, 1, 0, 41, 418.000875ms
16, 1, 0, 68, 82.425625ms
37, 1, 0, 29, 626.588875ms
30, 1, 0, 52, 332.397458ms
72, 2, 1, 50163, 5.668512791s
38, 1, 0, 15, 606.025208ms
38, 1, 0, 6, 565.691166ms
36, 1, 0, 12, 405.445125ms
23, 2, 1, 24321, 989.232167ms
27, 1, 0, 47, 263.635250ms
21, 1, 0, 3, 287.796667ms
25, 1, 0, 28, 245.550083ms
19, 1, 0, 38, 65.068041ms
53, 2, 0, 7, 3.773722458s
21, 1, 0, 3, 104.972791ms
12, 1, 0, 35, 58.846917ms
35, 1, 0, 40, 579.136375ms
12, 2, 0, 2126, 134.216500ms
87, 1, 0, 3, 4.455835959s
69, 1, 0, 82, 2.456920042s
10, 3, 2, 243005, 8.627144125s
23, 2, 1, 1645, 249.449709ms
33, 2, 1, 9560, 1.458611083s
43, 1, 0, 26, 558.904917ms
13, 1, 0, 4, 18.376375ms
24, 1, 0, 7, 99.305666ms
18, 1, 0, 64, 38.049417ms
70, 3, 1, 31564, 13.667270584s
34, 2, 0, 1836, 802.898875ms
76, 3, 0, 117936, 19.083794541s
51, 1, 0, 67, 1.046234208s
19, 2, 1, 4523, 431.755125ms
73, 1, 0, 28, 2.590478916s
55, 1, 0, 15, 1.155034500s
20, 1, 0, 92, 223.703959ms
27, 1, 0, 5, 293.903083ms
39, 1, 0, 38, 391.898250ms
27, 2, 0, 389, 636.440917ms
18, 1, 0, 8, 219.658167ms
88, 2, 1, 107498, 9.127412792s
56, 2, 1, 44182, 5.517368250s
95, 2, 0, 961, 16.025139542s
41, 2, 1, 4713, 1.747005542s
41, 2, 0, 3845, 1.675242834s
94, 3, 2, 64472605, 7m 23.980918083s
12, 1, 0, 36, 16.963542ms
31, 1, 0, 2, 272.627708ms
48, 2, 1, 23195, 2.529547209s
39, 2, 0, 36, 1.428113291s
11, 1, 0, 8, 22.852875ms
23, 1, 0, 27, 96.167375ms
46, 2, 1, 20691, 4.387966666s
14, 2, 0, 894, 243.359917ms
76, 1, 0, 3, 2.848397333s
12, 1, 0, 39, 17.290750ms
31, 1, 0, 5, 194.944334ms
19, 1, 0, 102, 91.099792ms
9, 3, 2, 647530, 10.778931708s
17, 1, 0, 45, 54.895292ms
18, 1, 0, 15, 36.507708ms
11, 3, 2, 1151495, 29.252129542s
19, 2, 1, 11026, 377.784666ms
16, 1, 0, 2, 27.920500ms
52, 1, 0, 82, 824.693333ms
43, 1, 0, 35, 526.872083ms
22, 2, 0, 166, 336.227833ms
32, 1, 0, 63, 175.988542ms
27, 2, 1, 31741, 2.528546500s
58, 2, 1, 35024, 2.489867417s
50, 2, 0, 2401, 2.526680209s
25, 2, 1, 19459, 843.459541ms
38, 1, 0, 5, 548.196417ms
43, 1, 0, 28, 550.282334ms
51, 1, 0, 5, 996.570917ms
96, 1, 0, 102, 5.289001333s
16, 2, 1, 13859, 563.992542ms
86, 1, 0, 77, 4.366993s
78, 3, 2, 26113548, 1m 28.754306125s
50, 2, 1, 60321, 5.670174958s
9, 2, 1, 3550, 113.221166ms
91, 2, 1, 19714, 9.602597250s
72, 2, 0, 276, 7.745369583s
51, 2, 0, 20, 2.742334875s
70, 2, 1, 29635, 4.871611625s
56, 2, 1, 4184, 3.241490792s
94, 2, 1, 30367, 12.661433666s
26, 1, 0, 86, 191.533ms
40, 1, 0, 4, 354.276250ms
38, 1, 0, 48, 220.877209ms
50, 1, 0, 64, 764.290542ms
63, 2, 1, 9365, 2.607226084s
35, 1, 0, 28, 248.143458ms
17, 1, 0, 78, 60.583792ms
13, 1, 0, 7, 18.946209ms
42, 3, 0, 48, 2.866493708s
13, 2, 1, 1950, 58.855750ms
40, 2, 1, 19920, 1.454496875s
15, 2, 0, 758, 83.771250ms
46, 3, 2, 10765001, 42.003195625s
19, 1, 0, 5, 67.416ms
21, 1, 0, 82, 115.155833ms
33, 1, 0, 38, 219.921166ms
38, 1, 0, 11, 530.529875ms
25, 1, 0, 6, 152.746542ms
63, 2, 1, 54393, 3.777371625s
40, 2, 0, 16, 1.396709958s
43, 2, 1, 24367, 1.303711125s
25, 1, 0, 66, 230.193791ms
14, 1, 0, 34, 24.145584ms
23, 2, 1, 19076, 2.379454625s
69, 3, 1, 689287, 27.878653125s
37, 1, 0, 167, 305.913958ms
29, 1, 0, 36, 187.370500ms
11, 1, 0, 13, 18.204209ms
45, 2, 1, 28936, 1.919289875s
12, 1, 0, 3, 33.116208ms
49, 2, 1, 1395, 1.420853042s
47, 2, 1, 33402, 1.946119792s
43, 3, 1, 131806, 9.991651084s
19, 2, 1, 12507, 361.871584ms
62, 2, 1, 15802, 4.034726667s
33, 1, 0, 57, 485.814750ms
17, 1, 0, 66, 100.159958ms
22, 1, 0, 14, 127.136625ms
35, 2, 0, 339, 1.259665125s
30, 2, 1, 1262, 736.068083ms
34, 1, 0, 59, 332.777333ms
57, 1, 0, 8, 1.547361334s
57, 1, 0, 53, 1.445164334s
31, 1, 0, 99, 273.593167ms
99, 1, 0, 13, 6.314884083s
82, 3, 0, 71952, 22.272981250s
18, 1, 0, 8, 69.325ms
32, 2, 1, 548, 726.884500ms
17, 1, 0, 58, 76.225166ms
9, 1, 0, 16, 29.830042ms
53, 1, 0, 10, 1.450043333s
77, 3, 2, 5541437, 1m 18.738091250s
11, 2, 1, 1460, 75.075167ms
32, 2, 1, 55669, 1.495537792s
27, 2, 1, 27139, 1.562326s
18, 1, 0, 15, 69.250167ms
26, 1, 0, 64, 199.316750ms
49, 1, 0, 7, 922.143458ms
47, 2, 0, 559, 2.463340416s
17, 1, 0, 8, 66.973625ms
41, 1, 0, 4, 612.191417ms
69, 2, 1, 114891, 5.718506125s
23, 1, 0, 2, 135.52ms
35, 1, 0, 11, 486.468959ms
10, 1, 0, 56, 12.928750ms
10, 3, 2, 1043338, 27.428032916s
19, 2, 0, 1301, 410.789083ms
23, 2, 1, 2830, 396.215209ms
21, 1, 0, 78, 120.575542ms
38, 1, 0, 63, 581.827625ms
33, 3, 0, 212, 2.151482542s
47, 3, 2, 19502165, 1m 26.541010s
33, 1, 0, 32, 458.511416ms
38, 2, 1, 27623, 2.053817250s
41, 1, 0, 67, 471.651875ms
42, 1, 0, 84, 730.641583ms
19, 1, 0, 62, 121.135750ms
42, 1, 0, 4, 665.600459ms
9, 1, 0, 46, 43.353292ms
82, 3, 1, 206450, 19.059917292s
21, 1, 0, 56, 74.150416ms
20, 1, 0, 11, 119.242250ms
65, 2, 1, 3804, 4.411441666s
16, 1, 0, 49, 59.927917ms
38, 1, 0, 31, 456.616791ms
77, 1, 0, 15, 2.956291208s
73, 1, 0, 7, 2.807902917s
41, 1, 0, 8, 579.128542ms
26, 1, 0, 56, 170.764375ms
24, 3, 1, 91102, 818.611125ms
26, 2, 1, 3152, 851.156209ms
27, 3, 2, 2655775, 19.483366791s
14, 2, 1, 7998, 137.963666ms
49, 1, 0, 111, 872.784833ms
19, 2, 1, 9522, 312.198625ms
15, 1, 0, 59, 26.667208ms
53, 2, 1, 54284, 2.970779709s
36, 1, 0, 11, 387.325834ms
61, 1, 0, 4, 1.778098250s
75, 3, 1, 402305, 1m 2.233611041s
16, 1, 0, 37, 30.148375ms
67, 1, 0, 46, 2.222035s
71, 1, 0, 49, 2.680865416s
31, 1, 0, 14, 254.122542ms
18, 1, 0, 6, 110.301875ms
19, 1, 0, 56, 94.713708ms
42, 1, 0, 79, 502.695ms
33, 1, 0, 148, 449.262833ms
5, 1, 0, 22, 3.811334ms
66, 1, 0, 22, 2.095408542s
53, 1, 0, 28, 1.073870375s
20, 1, 0, 7, 103.297125ms
39, 2, 1, 770, 1.260418750s
9, 2, 1, 6021, 185.604959ms
37, 2, 1, 1788, 1.070241416s
8, 1, 0, 58, 25.309083ms
46, 3, 2, 2574607, 21.720643416s
19, 1, 0, 28, 194.347833ms
82, 1, 0, 51, 4.009227083s
81, 1, 0, 83, 3.489977041s
19, 1, 0, 39, 64.181375ms
45, 2, 1, 29875, 1.446020208s
60, 3, 1, 17834, 8.630770792s
74, 1, 0, 7, 3.061733834s
12, 3, 1, 279347, 7.573222666s
40, 1, 0, 16, 313.709708ms
33, 2, 0, 733, 805.929500ms
24, 1, 0, 17, 140.848500ms
27, 1, 0, 8, 85.414916ms
38, 2, 1, 8193, 1.386861042s
23, 3, 2, 427206, 16.894639708s
39, 1, 0, 37, 486.771ms
64, 3, 1, 1091495, 48.724848833s
35, 1, 0, 146, 397.850875ms
18, 2, 1, 947, 143.912417ms
21, 1, 0, 11, 60.152083ms
73, 1, 0, 41, 1.961358041s
28, 2, 1, 4675, 585.633833ms
43, 1, 0, 15, 595.555750ms
18, 1, 0, 7, 52.449541ms
30, 2, 1, 23798, 753.449416ms
70, 1, 0, 35, 2.131858625s
34, 1, 0, 144, 238.842167ms
13, 1, 0, 34, 27.765750ms
25, 3, 1, 462391, 3.731655375s
36, 2, 1, 37644, 1.250656958s
84, 2, 1, 1286, 6.036136917s
11, 1, 0, 25, 14.059667ms
71, 1, 0, 32, 1.630301583s
8, 1, 0, 10, 12.764042ms
15, 1, 0, 8, 52.155083ms
30, 2, 1, 19989, 719.685667ms
71, 1, 0, 4, 1.926666959s
27, 2, 1, 22707, 667.315042ms
58, 1, 0, 34, 1.103908958s
61, 3, 1, 728118, 13.764467583s
30, 1, 0, 26, 203.647208ms
14, 1, 0, 26, 40.037625ms
82, 1, 0, 210, 2.904997s
22, 1, 0, 66, 105.657708ms
46, 2, 1, 29499, 1.643758584s
44, 1, 0, 8, 706.962708ms
23, 2, 1, 3013, 247.066333ms
10, 1, 0, 16, 30.048917ms
46, 1, 0, 4, 657.261333ms
72, 2, 1, 36718, 4.824366375s
46, 1, 0, 15, 685.951291ms
28, 2, 1, 38279, 1.677314125s
67, 3, 2, 3640486, 1m 17.975379667s
97, 2, 1, 12049, 9.527421959s
63, 2, 1, 2114, 3.062013125s
63, 2, 0, 54, 5.605371s
10, 2, 0, 754, 83.971333ms
28, 3, 2, 3242461, 11.053999500s
27, 2, 0, 384, 602.164334ms
26, 2, 1, 3012, 524.200458ms
9, 2, 1, 1601, 48.848916ms
51, 3, 2, 101926, 8.857277500s
45, 2, 1, 7204, 2.542026083s
24, 1, 0, 5, 118.748292ms
23, 2, 1, 8614, 650.152875ms
47, 1, 0, 43, 833.358584ms
33, 2, 1, 4900, 855.131792ms
56, 1, 0, 2, 1.486776208s
29, 1, 0, 57, 224.289166ms
30, 2, 0, 2078, 1.155141917s
88, 2, 0, 185, 13.793317s
54, 3, 1, 91740, 11.296414458s
16, 1, 0, 34, 62.706833ms
22, 3, 2, 3068263, 34.675805167s
18, 2, 1, 15379, 519.574250ms
29, 1, 0, 3, 230.855625ms
21, 2, 1, 2517, 508.485875ms
15, 3, 2, 2499221, 1m 41.894852167s
21, 2, 0, 841, 324.878542ms
35, 1, 0, 211, 467.300333ms
13, 1, 0, 81, 44.604250ms
89, 2, 1, 24243, 9.190439s
48, 1, 0, 10, 864.716334ms
67, 2, 1, 61284, 5.053675250s
64, 3, 2, 6120523, 38.903444916s
29, 2, 1, 28516, 2.326014084s
37, 2, 0, 2357, 1.656076083s
64, 2, 1, 76746, 7.486594334s
29, 2, 1, 17422, 1.114948667s
65, 1, 0, 7, 1.937368958s
76, 3, 1, 1088863, 45.559463667s
22, 1, 0, 3, 105.231792ms
41, 2, 1, 67784, 3.004808834s
17, 2, 1, 923, 215.193667ms
9, 3, 2, 465895, 3.328326167s
20, 1, 0, 63, 141.924375ms
21, 1, 0, 11, 75.016500ms
36, 2, 1, 22089, 824.232917ms
53, 2, 1, 54052, 3.114827250s
14, 2, 1, 7067, 748.818792ms
22, 3, 2, 142208, 7.113766792s
43, 1, 0, 3, 763.030250ms
10, 2, 1, 17759, 990.543875ms
73, 1, 0, 78, 3.076168625s
24, 1, 0, 63, 201.645042ms
14, 1, 0, 40, 22.955959ms
17, 2, 0, 4896, 372.969333ms
49, 2, 1, 42904, 7.403587750s
