length,lev_dist,sample_ms,total_ms,total_samples,lev_ball_arcs,productions,rank
34,1,9,8625,9,170,197,0
26,1,33,933,63,130,201,0
14,4,30147,48610,175558,321,4107,0
26,3,30090,72372,100909,417,3820,0
28,4,30927,170679,572036,643,336,0
19,2,571,6940,1072,191,618,0
20,1,26,331,63,100,189,0
30,2,2855,15976,1858,301,1581,0
29,3,30015,87247,10183,465,2875,4
24,1,71,1043,97,120,459,0
12,1,2,192,10,60,44,0
12,2,3354,5113,11030,121,2823,3085
36,4,30070,111571,38383,827,2143,0
21,1,12,3604,28,105,114,0
36,1,116,2593,102,180,286,0
22,3,30366,50063,229599,353,6086,-1
15,1,5,2718,13,75,44,0
18,2,118,4296,335,181,206,0
15,1,20,252,63,75,179,0
21,2,2235,6390,2498,211,1539,217
29,3,30036,56161,28493,465,3146,121
28,2,14170,21456,9346,281,3023,2731
23,3,427,9463,317,369,411,0
33,4,30687,123007,225617,758,18963,-1
22,4,30053,61457,60617,505,8129,-1
26,4,14585,96451,8467,597,4892,0
11,3,30016,39435,9408,177,10533,2478
32,3,859,48779,752,513,222,0
41,4,30288,175655,91826,942,29261,0
35,3,30027,73904,17762,561,11030,0
34,2,887,13034,820,341,239,17
25,2,10,5045,20,251,74,0
28,3,1972,67568,2638,449,235,0
13,1,11,377,37,65,118,0
28,1,5,3815,2,140,63,0
26,4,30122,77194,107135,597,2773,-1
29,3,30022,71226,27370,465,2998,-1
22,2,239,4333,167,221,1074,0
13,1,1,245,6,65,72,0
34,2,3321,22718,475,341,2073,316
23,2,14,2505,32,231,80,0
30,2,30015,39479,19982,301,4162,4199
12,1,1,146,6,60,34,0
29,4,5479,35609,5217,666,1738,665
29,3,1780,30317,2197,465,121,0
25,3,4471,26198,6329,401,373,0
16,2,64,4844,195,161,129,4
33,2,23781,35755,10344,331,3021,3551
15,2,1002,2477,2076,151,1078,593
29,1,15,2346,18,145,213,0
22,1,33,958,53,110,269,0
18,1,14,641,35,90,175,0
22,2,1353,8883,970,221,1160,0
35,3,5783,47708,2187,561,2824,1138
37,3,1,132547,1,593,80,0
22,2,3241,13650,3466,221,2694,121
26,1,10,1208,10,130,72,0
26,1,22,3619,41,130,158,0
