lev distance,milliseconds,samples drawn,productions
1, 0, 3, 97
1, 0, 5, 96
1, 3, 18, 137
3, 19, 1097, 358
1, 3, 11, 102
2, 491, 1955, 1528
1, 0, 1, 80
1, 3, 45, 283
1, 1, 15, 371
1, 0, 7, 79
1, 0, 1, 210
2, 3, 59, 338
1, 0, 5, 77
1, 0, 6, 75
1, 1, 5, 75
2, 816, 2123, 1662
1, 0, 1, 113
1, 0, 4, 64
3, 20, 73, 2257
1, 0, 3, 66
1, 0, 14, 151
2, 357, 835, 1063
2, 0, 1, 70
2, 3, 33, 331
3, 1418, 7064, 338
1, 0, 10, 157
1, 0, 2, 189
2, 0, 1, 48
2, 5, 50, 1604
1, 0, 12, 219
1, 0, 16, 146
3, 1772, 16090, 22137
2, 286, 1172, 335
2, 0, 12, 180
1, 1, 14, 99
2, 0, 8, 148
2, 13, 54, 1576
1, 1, 2, 275
1, 0, 15, 176
1, 0, 1, 118
1, 1, 15, 104
2, 0, 19, 134
1, 1, 20, 135
1, 0, 2, 76
2, 356, 699, 569
3, 283, 1023, 7437
1, 0, 1, 110
1, 2, 42, 414
1, 0, 8, 69
3, 7, 330, 537
1, 3, 16, 333
2, 46, 545, 1236
2, 3, 9, 279
1, 0, 1, 42
1, 0, 5, 142
2, 63, 777, 1730
2, 0, 1, 80
1, 0, 3, 137
2, 76, 1509, 1618
1, 1, 7, 79
3, 129, 807, 5005
3, 0, 1, 72
2, 1, 44, 140
1, 0, 4, 80
1, 0, 10, 287
1, 0, 9, 220
1, 0, 8, 119
2, 3, 102, 328
1, 14, 28, 140
2, 0, 2, 111
1, 0, 7, 98
2, 6, 40, 374
1, 0, 6, 171
1, 1, 10, 294
1, 0, 5, 95
1, 0, 4, 98
1, 0, 1, 134
1, 0, 8, 88
1, 0, 2, 59
1, 2, 5, 107
1, 0, 15, 207
1, 0, 10, 135
1, 0, 9, 133
2, 3, 6, 640
2, 3, 99, 112
2, 0, 3, 285
1, 0, 6, 91
1, 0, 1, 62
1, 2, 1, 100
1, 0, 2, 131
1, 0, 2, 93
2, 755, 969, 762
1, 0, 1, 108
1, 1, 15, 155
1, 0, 5, 174
3, 51, 465, 2672
1, 0, 3, 70
1, 0, 10, 161
1, 0, 3, 69
2, 6, 114, 171
1, 2, 18, 147
1, 0, 1, 67
3, 28, 993, 2276
